no,weight_adult,wing_area_mm2,length_mm
1,NA,NA,NA
2,0.3952,768.872,46.7914
3,0.3858,752.876,46.0823
4,0.3343,729.673,45.0254
5,0.2951,681.913,42.8773
6,NA,NA,NA
7,0.3683,790.037,47.5082
8,0.3287,711.231,44.3676
9,0.354,730.745,45.5076
10,0.3111,758.519,45.4569
11,NA,NA,NA
12,0.365,NA,NA
13,0.3309,604.849,41.6917
14,0.3148,601.879,41.4471
15,0.2709,578.45,40.2595
16,0.3146,690.136,43.1804
61,0.3322,671.531,43.1911
17,0.3436,755.006,44.6064
18,NA,NA,NA
19,NA,NA,NA
20,0.3416,727.177,44.6524
21,NA,NA,NA
22,0.3664,773.442,45.4855
23,0.3873,750.796,46.3515
24,0.3583,743.144,45.7198
25,NA,NA,NA
26,0.3282,757.997,44.8919
27,0.3301,700.87,43.7732
28,NA,NA,NA
29,0.2541,530.323,37.8908
30,0.3093,611.894,41.7464
31,0.3925,712.246,44.079
32,0.3145,644.153,41.4962
33,NA,NA,NA
34,0.3816,733.235,44.6678
35,0.4062,760.733,46.6666
36,0.3921,809.777,48.2865
37,0.402,769.916,47.1321
38,0.3617,749.019,44.6148
39,0.4292,793.034,47.7848
40,NA,NA,NA
41,NA,NA,NA
42,NA,NA,NA
43,0.3688,757.813,45.7893
44,0.4062,766.65,45.4124
45,0.3708,720.963,44.1182
46,0.3852,754.456,46.276
47,0.3267,657.243,43.2756
48,0.2625,603.565,40.6476
49,0.3927,745.732,46.5355
50,0.3368,684.494,43.8909
51,NA,NA,NA
52,0.3186,625.209,42.0587
53,0.3182,650.169,42.3238
54,0.2859,542.454,38.6536
55,0.3372,613.439,41.785
56,0.2786,630.33,41.2012
57,NA,NA,NA
58,NA,NA,NA
59,NA,NA,NA
60,0.332,674.465,43.0392
62,0.3206,657.045,42.105
63,0.3202,644.484,42.1837
64,0.2866,636.853,41.6511
65,0.29,607.105,41.1791
66,0.3577,710.384,44.8566
67,0.3123,714.009,44.2446
68,0.3365,701.681,44.1558
69,0.3578,722.649,45.6763
70,0.3713,707.584,45.9421
71,0.2852,660.938,42.5628
72,NA,NA,NA
73,0.3645,728.538,44.732
74,NA,NA,NA
75,0.3589,702.937,44.2326
76,0.3395,615.251,41.7278
77,NA,NA,NA
78,0.316,732.79,45.044
79,0.3668,628.348,41.9351
80,0.2601,580.637,40.3894
81,NA,NA,NA
82,NA,NA,NA
83,0.3903,744.568,45.4909
84,NA,NA,NA
85,NA,NA,NA
86,NA,NA,NA
87,NA,NA,NA
88,0.3812,773.364,46.5871
89,0.316,674.733,42.8265
90,NA,NA,NA
91,0.2682,594.989,41.5053
92,0.2433,593.508,40.0912
93,0.3394,738.863,45.1296
94,NA,NA,NA
95,0.3535,607.959,41.4689
96,NA,NA,NA
97,0.3162,746.825,46.296
98,0.2735,671.757,43.3572
99,NA,NA,NA
100,0.476,800.263,46.882
101,0.4093,812.006,46.5203
102,NA,NA,NA
103,NA,NA,NA
104,NA,NA,NA
105,0.3344,709.771,43.8463
106,0.3668,772.264,48.2323
107,0.3301,736.282,44.3204
108,NA,NA,NA
109,0.2564,652.821,42.9666
110,0.2848,656.763,43.439
111,NA,NA,NA
112,0.3333,753.243,45.1432
113,0.3541,731.457,44.816
114,NA,NA,NA
115,0.3584,736.211,45.8692
116,0.3832,743.306,45.2924
117,NA,NA,NA
118,NA,NA,NA
119,NA,NA,NA
120,0.3617,758.194,44.6777
121,NA,NA,NA
122,0.2905,583.803,39.2417
123,0.3496,NA,NA
124,NA,NA,NA
125,NA,NA,NA
126,0.3688,819.482,47.2255
127,NA,NA,NA
128,NA,NA,NA
129,0.3274,NA,NA
130,NA,NA,NA
131,NA,NA,NA
132,NA,NA,NA
133,0.3375,698.317,43.9684
134,0.3379,750.048,45.7947
135,NA,NA,NA
136,NA,NA,NA
137,NA,NA,NA
138,NA,NA,NA
139,0.2948,694.234,43.8664
140,NA,NA,NA
141,0.3057,740.802,43.9956
142,NA,NA,NA
143,NA,NA,NA
144,0.2539,614.856,41.9322
145,0.3386,638.116,42.7075
146,0.4263,817.02,47.5634
147,NA,NA,NA
148,0.3149,734.589,44.1983
149,0.2808,577.682,40.6013
150,NA,NA,NA
151,0.2632,688.408,42.767
152,NA,NA,NA
153,NA,NA,NA
154,NA,NA,NA
155,NA,NA,NA
156,NA,NA,NA
157,0.3761,700.116,44.0375
158,0.2607,613.763,41.5271
159,0.3744,712.874,44.3425
160,0.381,805.447,47.1845
161,0.401,703.162,46.2744
162,NA,NA,NA
163,NA,NA,NA
164,0.325,727.395,43.9064
165,0.3206,668.097,43.4511
166,0.3378,707.027,45.2226
167,0.3575,765.388,46.3337
168,NA,NA,NA
169,NA,NA,NA
170,0.3628,746.649,46.4407
171,NA,NA,NA
172,NA,NA,NA
173,0.2605,559.493,36.203
174,0.3294,689.48,44.0124
