no,host,parasite,plant,isolate,inoc_date,into_pint,plant_lineage,lineage,imm_stage,imm_assay,imm_date,imm_weight,pup_date,eclo_date,death_date,death_stage,notes,eclosion_date,sex,weight_adult,tape_score,pupal_score,notes_adult,load,wing_area_mm2,length_mm,breath_mm,density,host_long,parasite_long2,plant_long2,longev,cycle_eclosion,cycle_larva,cycle_pupa,pre_mort,larv_mort,pupa_mort,crumpled,outcome,exclude,parasite2,mn_initial,mn_final,mn_diff,mn_max,G,P,S,O,Cdens,granulocytes,plasmatocytes,spheroids,oenocytoids
1,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,5th,Blood/Transcp,9/25/2020,893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06225,1.27175,1.2095,0.007130426,80,22,29,2,15837.5,0.601503759,0.165413534,0.218045113,0.015037594
2,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/27/2020,10/5/2020,10/16/2020,adult,NA,10/5/2020,M,0.3952,0,NA,NA,NA,768.872,46.7914,25.5447,36.5033,Queen,Control,Tropical,11,17,9,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/28/2020,10/6/2020,10/16/2020,adult,Or pupated 9/27/2020,10/6/2020,M,0.3858,0,NA,NA,NA,752.876,46.0823,25.4257,39.4584,Queen,Control,Tropical,10,18,10,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/26/2020,10/4/2020,10/13/2020,adult,NA,10/4/2020,F,0.3343,0,NA,NA,NA,729.673,45.0254,25.1909,35.6182,Queen,Control,Tropical,9,16,8,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/26/2020,10/4/2020,10/12/2020,adult,NA,10/4/2020,F,0.2951,0,NA,NA,NA,681.913,42.8773,24.3541,35.3403,Queen,Control,Tropical,8,16,8,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Q,C,T,Control,9/18/2020,9/19/2020,5,G16,5th,Blood/Transcp,9/26/2020,1106.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10325,1.76625,1.663,0.007493813,92,21,5,2,12825,0.766666667,0.175,0.041666667,0.016666667
7,Q,C,T,Control,9/18/2020,9/19/2020,5,G16,NA,NA,NA,NA,9/27/2020,10/4/2020,10/18/2020,adult,NA,10/4/2020,M,0.3683,0,NA,NA,NA,790.037,47.5082,26.2158,34.8842,Queen,Control,Tropical,14,16,9,7,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Q,C,T,Control,9/18/2020,9/19/2020,5,G16,NA,NA,NA,NA,9/26/2020,10/4/2020,10/18/2020,adult,NA,10/4/2020,M,0.3287,0,NA,NA,NA,711.231,44.3676,24.8117,36.8564,Queen,Control,Tropical,14,16,8,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Q,C,T,Control,9/18/2020,9/19/2020,5,G16,NA,NA,NA,NA,9/27/2020,10/5/2020,10/20/2020,adult,NA,10/5/2020,M,0.354,0,NA,NA,NA,730.745,45.5076,25.1595,35.2476,Queen,Control,Tropical,15,17,9,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Q,C,T,Control,9/18/2020,9/19/2020,5,G16,NA,NA,NA,NA,9/27/2020,10/4/2020,10/15/2020,adult,NA,10/4/2020,F,0.3111,0,NA,NA,NA,758.519,45.4569,25.63,40.2924,Queen,Control,Tropical,11,16,9,7,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Q,C,T,Control,9/18/2020,9/19/2020,9,G3+G8,5th,Blood/Transcp,9/25/2020,849.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11175,2.77275,2.661,0.016964284,81,36,16,1,16537.5,0.604477612,0.268656716,0.119402985,0.007462687
12,Q,C,T,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/27/2020,10/5/2020,10/7/2020,adult,NA,10/5/2020,F,0.365,0,NA,Crumpled wings,NA,NA,NA,NA,NA,Queen,Control,Tropical,2,17,9,8,0,0,0,1,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Q,C,T,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/28/2020,10/4/2020,10/15/2020,adult,NA,10/4/2020,F,0.3309,0,NA,NA,NA,604.849,41.6917,22.3381,37.9506,Queen,Control,Tropical,11,16,10,6,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Q,C,T,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/25/2020,10/3/2020,10/13/2020,adult,NA,10/3/2020,M,0.3148,0,NA,NA,NA,601.879,41.4471,22.6704,36.911,Queen,Control,Tropical,10,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Q,C,T,Control,9/18/2020,9/19/2020,9,G3+G8,NA,NA,NA,NA,9/25/2020,10/3/2020,10/11/2020,adult,NA,10/3/2020,F,0.2709,0,NA,NA,NA,578.45,40.2595,22.0561,41.1176,Queen,Control,Tropical,8,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Q,C,T,Control,9/18/2020,9/19/2020,2,G5,NA,NA,NA,NA,9/26/2020,10/4/2020,10/12/2020,adult,NA,10/4/2020,F,0.3146,0,NA,NA,NA,690.136,43.1804,24.7662,35.2174,Queen,Control,Tropical,8,16,8,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Q,C,S,Control,9/18/2020,9/19/2020,8,G9,NA,NA,NA,NA,9/25/2020,10/3/2020,10/12/2020,adult,This is 61,10/3/2020,F,0.3322,0,NA,NA,NA,671.531,43.1911,23.1241,33.1065,Queen,Control,Swamp,9,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Q,C,T,Control,9/18/2020,9/19/2020,2,G5,NA,NA,NA,NA,9/28/2020,10/6/2020,10/16/2020,adult,NA,10/6/2020,F,0.3436,0,NA,NA,NA,755.006,44.6064,25.9354,37.7564,Queen,Control,Tropical,10,18,10,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Q,C,T,Control,9/18/2020,9/19/2020,2,G5,5th,Blood/Transcp,9/25/2020,865.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07125,2.316,2.24475,0.017320596,67,35,7,4,16900,0.592920354,0.309734513,0.061946903,0.03539823
19,Q,C,T,Control,9/18/2020,9/19/2020,2,G5,NA,NA,NA,NA,9/28/2020,NA,10/4/2020,pupa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,10,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Q,C,T,Control,9/18/2020,9/19/2020,4,10+G20,NA,NA,NA,NA,9/25/2020,10/4/2020,10/16/2020,adult,NA,10/4/2020,M,0.3416,0,NA,NA,NA,727.177,44.6524,24.8611,32.5649,Queen,Control,Tropical,12,16,7,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Q,C,T,Control,9/18/2020,9/19/2020,4,10+G20,5th,Blood/Transcp,9/25/2020,1082.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07775,1.74375,1.666,0.006396741,64,31,15,3,17425,0.566371681,0.274336283,0.132743363,0.026548673
